

Meter Model Name,Meter SN,Meter IP Address,Meter MAC Address,Device Name,Device Local ID,Device Type ID,Device Type Name,Logging Interval,,Log File Status
PM5560,600097794,169.254.0.10,0:80:67:88:9D:30,PM55-#0600097794,1,13,PM5500,1,,0

,,,Topic ID1,Topic ID2,Topic ID3,Topic ID4,Topic ID5,Topic ID6,Topic ID7,Topic ID8,Topic ID9,Topic ID10,Topic ID11,Topic ID12,Topic ID13,Topic ID14
,,,64145,64149,1042,64160,64161,1050,1008,1034,64153,64157,1046,1014,1015,1017

Status,,Local Time Stamp,Active Energy Delivered (KWh),Active Energy Received (KWh),Active Power Total,Apparent Energy Delivered (KVAh),Apparent Energy Received (KVAh),Apparent Power Total,Current Average,Power Factor Total,Reactive Energy Delivered (KVARh),Reactive Energy Received (KVARh),Reactive Power Total,Voltage A-B,Voltage B-C,Voltage L-L
0,,2020-3-7 01:50,0,0,0,0,0,0,0,-4194304,0,0,0,1116931786,0,1111759485
0,,2020-3-7 01:51,0,0,0,0,0,0,0,-4194304,0,0,0,1116949551,0,1111783027
0,,2020-3-7 01:52,0,0,0,0,0,0,0,-4194304,0,0,0,1116942004,0,1111773019
0,,2020-3-7 01:53,0,0,0,0,0,0,0,-4194304,0,0,0,1116941240,0,1111771861
0,,2020-3-7 01:54,0,0,0,0,0,0,0,-4194304,0,0,0,1116939097,0,1111769144
0,,2020-3-7 01:55,0,0,0,0,0,0,0,-4194304,0,0,0,1116936694,0,1111765988
0,,2020-3-7 01:56,0,0,0,0,0,0,0,-4194304,0,0,0,1116949061,0,1111782339
0,,2020-3-7 01:57,0,0,0,0,0,0,0,-4194304,0,0,0,1116935570,0,1111764675
0,,2020-3-7 01:58,0,0,0,0,0,0,0,-4194304,0,0,0,1116942325,0,1111773459
0,,2020-3-7 01:59,0,0,0,0,0,0,0,-4194304,0,0,0,1116930795,0,1111758093
0,,2020-3-7 02:00,0,0,0,0,0,0,0,-4194304,0,0,0,1116943275,0,1111774668
0,,2020-3-7 02:01,0,0,0,0,0,0,0,-4194304,0,0,0,1116925918,0,1111751608
0,,2020-3-7 02:02,0,0,0,0,0,0,0,-4194304,0,0,0,1116929270,0,1111756143
0,,2020-3-7 02:03,0,0,0,0,0,0,0,-4194304,0,0,0,1116915757,0,1111738080
0,,2020-3-7 02:04,0,0,0,0,0,0,0,-4194304,0,0,0,1116899031,0,1111715588
0,,2020-3-7 02:05,0,0,0,0,0,0,0,-4194304,0,0,0,1116924835,0,1111750093
0,,2020-3-7 02:06,0,0,0,0,0,0,0,-4194304,0,0,0,1116932741,0,1111760555
0,,2020-3-7 02:07,0,0,0,0,0,0,0,-4194304,0,0,0,1116931516,0,1111759039
0,,2020-3-7 02:08,0,0,0,0,0,0,0,-4194304,0,0,0,1116921769,0,1111746005
0,,2020-3-7 02:09,0,0,0,0,0,0,0,-4194304,0,0,0,1116934868,0,1111763432
0,,2020-3-7 02:10,0,0,0,0,0,0,0,-4194304,0,0,0,1116926453,0,1111752324
0,,2020-3-7 02:11,0,0,0,0,0,0,0,-4194304,0,0,0,1116931046,0,1111758508
0,,2020-3-7 02:12,0,0,0,0,0,0,0,-4194304,0,0,0,1116923823,0,1111748811
0,,2020-3-7 02:13,0,0,0,0,0,0,0,-4194304,0,0,0,1116939366,0,1111769464
0,,2020-3-7 02:14,0,0,0,0,0,0,0,-4194304,0,0,0,1116919505,0,1111743048
0,,2020-3-7 02:15,0,0,0,0,0,0,0,-4194304,0,0,0,1116931909,0,1111759592
0,,2020-3-7 02:16,0,0,0,0,0,0,0,-4194304,0,0,0,1116926544,0,1111752280
0,,2020-3-7 02:17,0,0,0,0,0,0,0,-4194304,0,0,0,1116923892,0,1111749032
0,,2020-3-7 02:18,0,0,0,0,0,0,0,-4194304,0,0,0,1116921486,0,1111745525
0,,2020-3-7 02:19,0,0,0,0,0,0,0,-4194304,0,0,0,1116926732,0,1111752715
0,,2020-3-7 02:20,0,0,0,0,0,0,0,-4194304,0,0,0,1116924739,0,1111750091
0,,2020-3-7 02:21,0,0,0,0,0,0,0,-4194304,0,0,0,1116918812,0,1111742120
0,,2020-3-7 02:22,0,0,0,0,0,0,0,-4194304,0,0,0,1116935742,0,1111764760
0,,2020-3-7 02:23,0,0,0,0,0,0,0,-4194304,0,0,0,1116926125,0,1111751856
0,,2020-3-7 02:24,0,0,0,0,0,0,0,-4194304,0,0,0,1116931014,0,1111758485
0,,2020-3-7 02:25,0,0,0,0,0,0,0,-4194304,0,0,0,1116932060,0,1111759737
0,,2020-3-7 02:26,0,0,0,0,0,0,0,-4194304,0,0,0,1116931655,0,1111759323
0,,2020-3-7 02:27,0,0,0,0,0,0,0,-4194304,0,0,0,1116931452,0,1111758923
0,,2020-3-7 02:28,0,0,0,0,0,0,0,-4194304,0,0,0,1116935560,0,1111764476
0,,2020-3-7 02:29,0,0,0,0,0,0,0,-4194304,0,0,0,1116934647,0,1111763088
0,,2020-3-7 02:30,0,0,0,0,0,0,0,-4194304,0,0,0,1116932201,0,1111760184
0,,2020-3-7 02:31,0,0,0,0,0,0,0,-4194304,0,0,0,1116936310,0,1111765557
0,,2020-3-7 02:32,0,0,0,0,0,0,0,-4194304,0,0,0,1116929537,0,1111756444
0,,2020-3-7 02:33,0,0,0,0,0,0,0,-4194304,0,0,0,1116937129,0,1111766477
0,,2020-3-7 02:34,0,0,0,0,0,0,0,-4194304,0,0,0,1116933855,0,1111762056
0,,2020-3-7 02:35,0,0,0,0,0,0,0,-4194304,0,0,0,1116923812,0,1111748632
0,,2020-3-7 02:36,0,0,0,0,0,0,0,-4194304,0,0,0,1116923703,0,1111748561
0,,2020-3-7 02:37,0,0,0,0,0,0,0,-4194304,0,0,0,1116919159,0,1111742427
0,,2020-3-7 02:38,0,0,0,0,0,0,0,-4194304,0,0,0,1116916513,0,1111739041
0,,2020-3-7 02:39,0,0,0,0,0,0,0,-4194304,0,0,0,1116922622,0,1111747045
0,,2020-3-7 02:40,0,0,0,0,0,0,0,-4194304,0,0,0,1116918500,0,1111741595
0,,2020-3-7 02:41,0,0,0,0,0,0,0,-4194304,0,0,0,1116918411,0,1111741635
0,,2020-3-7 02:42,0,0,0,0,0,0,0,-4194304,0,0,0,1116918385,0,1111741591
0,,2020-3-7 02:43,0,0,0,0,0,0,0,-4194304,0,0,0,1116912819,0,1111734000
0,,2020-3-7 02:44,0,0,0,0,0,0,0,-4194304,0,0,0,1116924675,0,1111749920
0,,2020-3-7 02:45,0,0,0,0,0,0,0,-4194304,0,0,0,1116915228,0,1111737195
0,,2020-3-7 02:46,0,0,0,0,0,0,0,-4194304,0,0,0,1116915261,0,1111737387
0,,2020-3-7 02:47,0,0,0,0,0,0,0,-4194304,0,0,0,1116907791,0,1111727447
0,,2020-3-7 02:48,0,0,0,0,0,0,0,-4194304,0,0,0,1116921236,0,1111745485
0,,2020-3-7 02:49,0,0,0,0,0,0,0,-4194304,0,0,0,1116919224,0,1111742571
